band,task,vocab_item,category,example_sentence
4,1,sharply reach a peak,trend/description,The diagram makes it clear that the percentage sharply reach a peak over time.
4,1,sharply remain stable,trend/description,The chart shows that the figure sharply remain stable over the period.
4,1,sharply rise,trend/description,"Overall, the number sharply rise during the time shown."
4,1,significantly climb,trend/description,"As can be seen from the graph, the percentage significantly climb over these years."
4,1,significantly decline,trend/description,"According to the table, the value significantly decline in the final year."
4,1,significantly decrease,trend/description,"Over the whole period, the proportion significantly decrease compared with the beginning."
4,1,significantly drop,trend/description,The line graph illustrates how the figure significantly drop between 2000 and 2010.
4,1,significantly fall,trend/description,"Looking at the statistics, the amount significantly fall throughout the period."
4,1,significantly fluctuate,trend/description,The diagram makes it clear that the percentage significantly fluctuate over time.
4,1,significantly increase,trend/description,The chart shows that the figure significantly increase over the period.
4,1,significantly reach a peak,trend/description,"Overall, the number significantly reach a peak during the time shown."
4,1,significantly remain stable,trend/description,"As can be seen from the graph, the percentage significantly remain stable over these years."
4,1,significantly rise,trend/description,"According to the table, the value significantly rise in the final year."
4,1,slightly climb,trend/description,"Over the whole period, the proportion slightly climb compared with the beginning."
4,1,slightly decline,trend/description,The line graph illustrates how the figure slightly decline between 2000 and 2010.
4,1,slightly decrease,trend/description,"Looking at the statistics, the amount slightly decrease throughout the period."
4,1,slightly drop,trend/description,The diagram makes it clear that the percentage slightly drop over time.
4,1,slightly fall,trend/description,The chart shows that the figure slightly fall over the period.
4,1,slightly fluctuate,trend/description,"Overall, the number slightly fluctuate during the time shown."
4,1,slightly increase,trend/description,"As can be seen from the graph, the percentage slightly increase over these years."
4,1,slightly reach a peak,trend/description,"According to the table, the value slightly reach a peak in the final year."
4,1,slightly remain stable,trend/description,"Over the whole period, the proportion slightly remain stable compared with the beginning."
4,1,slightly rise,trend/description,The line graph illustrates how the figure slightly rise between 2000 and 2010.
4,1,steadily climb,trend/description,"Looking at the statistics, the amount steadily climb throughout the period."
4,1,steadily decline,trend/description,The diagram makes it clear that the percentage steadily decline over time.
4,1,steadily decrease,trend/description,The chart shows that the figure steadily decrease over the period.
4,1,steadily drop,trend/description,"Overall, the number steadily drop during the time shown."
4,1,steadily fall,trend/description,"As can be seen from the graph, the percentage steadily fall over these years."
4,1,steadily fluctuate,trend/description,"According to the table, the value steadily fluctuate in the final year."
4,1,steadily increase,trend/description,"Over the whole period, the proportion steadily increase compared with the beginning."
4,1,steadily reach a peak,trend/description,The line graph illustrates how the figure steadily reach a peak between 2000 and 2010.
4,1,steadily remain stable,trend/description,"Looking at the statistics, the amount steadily remain stable throughout the period."
4,1,steadily rise,trend/description,The diagram makes it clear that the percentage steadily rise over time.
5,1,dramatically climb,trend/description,The chart shows that the figure dramatically climb over the period.
5,1,dramatically decline,trend/description,"Overall, the number dramatically decline during the time shown."
5,1,dramatically decrease,trend/description,"As can be seen from the graph, the percentage dramatically decrease over these years."
5,1,dramatically drop,trend/description,"According to the table, the value dramatically drop in the final year."
5,1,dramatically fall,trend/description,"Over the whole period, the proportion dramatically fall compared with the beginning."
5,1,dramatically fluctuate,trend/description,The line graph illustrates how the figure dramatically fluctuate between 2000 and 2010.
5,1,dramatically increase,trend/description,"Looking at the statistics, the amount dramatically increase throughout the period."
5,1,dramatically reach a peak,trend/description,The diagram makes it clear that the percentage dramatically reach a peak over time.
5,1,dramatically remain stable,trend/description,The chart shows that the figure dramatically remain stable over the period.
5,1,dramatically rise,trend/description,"Overall, the number dramatically rise during the time shown."
5,1,moderately climb,trend/description,"As can be seen from the graph, the percentage moderately climb over these years."
5,1,moderately decline,trend/description,"According to the table, the value moderately decline in the final year."
5,1,moderately decrease,trend/description,"Over the whole period, the proportion moderately decrease compared with the beginning."
5,1,moderately drop,trend/description,The line graph illustrates how the figure moderately drop between 2000 and 2010.
5,1,moderately fall,trend/description,"Looking at the statistics, the amount moderately fall throughout the period."
5,1,moderately fluctuate,trend/description,The diagram makes it clear that the percentage moderately fluctuate over time.
5,1,moderately increase,trend/description,The chart shows that the figure moderately increase over the period.
5,1,moderately reach a peak,trend/description,"Overall, the number moderately reach a peak during the time shown."
5,1,moderately remain stable,trend/description,"As can be seen from the graph, the percentage moderately remain stable over these years."
5,1,moderately rise,trend/description,"According to the table, the value moderately rise in the final year."
5,1,significantly climb,trend/description,"Over the whole period, the proportion significantly climb compared with the beginning."
5,1,significantly decline,trend/description,The line graph illustrates how the figure significantly decline between 2000 and 2010.
5,1,significantly decrease,trend/description,"Looking at the statistics, the amount significantly decrease throughout the period."
5,1,significantly drop,trend/description,The diagram makes it clear that the percentage significantly drop over time.
5,1,significantly fall,trend/description,The chart shows that the figure significantly fall over the period.
5,1,significantly fluctuate,trend/description,"Overall, the number significantly fluctuate during the time shown."
5,1,significantly increase,trend/description,"As can be seen from the graph, the percentage significantly increase over these years."
5,1,significantly reach a peak,trend/description,"According to the table, the value significantly reach a peak in the final year."
5,1,significantly remain stable,trend/description,"Over the whole period, the proportion significantly remain stable compared with the beginning."
5,1,significantly rise,trend/description,The line graph illustrates how the figure significantly rise between 2000 and 2010.
5,1,slightly climb,trend/description,"Looking at the statistics, the amount slightly climb throughout the period."
5,1,slightly decline,trend/description,The diagram makes it clear that the percentage slightly decline over time.
5,1,slightly decrease,trend/description,The chart shows that the figure slightly decrease over the period.
5,1,slightly drop,trend/description,"Overall, the number slightly drop during the time shown."
5,1,slightly fall,trend/description,"As can be seen from the graph, the percentage slightly fall over these years."
5,1,slightly fluctuate,trend/description,"According to the table, the value slightly fluctuate in the final year."
5,1,slightly increase,trend/description,"Over the whole period, the proportion slightly increase compared with the beginning."
5,1,slightly reach a peak,trend/description,The line graph illustrates how the figure slightly reach a peak between 2000 and 2010.
5,1,slightly remain stable,trend/description,"Looking at the statistics, the amount slightly remain stable throughout the period."
5,1,slightly rise,trend/description,The diagram makes it clear that the percentage slightly rise over time.
5,1,steadily climb,trend/description,The chart shows that the figure steadily climb over the period.
5,1,steadily decline,trend/description,"Overall, the number steadily decline during the time shown."
5,1,steadily decrease,trend/description,"As can be seen from the graph, the percentage steadily decrease over these years."
5,1,steadily drop,trend/description,"According to the table, the value steadily drop in the final year."
5,1,steadily fall,trend/description,"Over the whole period, the proportion steadily fall compared with the beginning."
5,1,steadily fluctuate,trend/description,The line graph illustrates how the figure steadily fluctuate between 2000 and 2010.
5,1,steadily increase,trend/description,"Looking at the statistics, the amount steadily increase throughout the period."
5,1,steadily reach a peak,trend/description,The diagram makes it clear that the percentage steadily reach a peak over time.
5,1,steadily remain stable,trend/description,The chart shows that the figure steadily remain stable over the period.
5,1,steadily rise,trend/description,"Overall, the number steadily rise during the time shown."
6,1,considerably decrease,trend/description,"As can be seen from the graph, the percentage considerably decrease over these years."
6,1,considerably drop,trend/description,"According to the table, the value considerably drop in the final year."
6,1,considerably fall,trend/description,"Over the whole period, the proportion considerably fall compared with the beginning."
6,1,considerably fluctuate,trend/description,The line graph illustrates how the figure considerably fluctuate between 2000 and 2010.
6,1,considerably increase,trend/description,"Looking at the statistics, the amount considerably increase throughout the period."
6,1,considerably level off,trend/description,The diagram makes it clear that the percentage considerably level off over time.
6,1,considerably peak,trend/description,The chart shows that the figure considerably peak over the period.
6,1,considerably plummet,trend/description,"Overall, the number considerably plummet during the time shown."
6,1,considerably rise,trend/description,"As can be seen from the graph, the percentage considerably rise over these years."
6,1,considerably surge,trend/description,"According to the table, the value considerably surge in the final year."
6,1,gradually decrease,trend/description,"Over the whole period, the proportion gradually decrease compared with the beginning."
6,1,gradually drop,trend/description,The line graph illustrates how the figure gradually drop between 2000 and 2010.
6,1,gradually fall,trend/description,"Looking at the statistics, the amount gradually fall throughout the period."
6,1,gradually fluctuate,trend/description,The diagram makes it clear that the percentage gradually fluctuate over time.
6,1,gradually increase,trend/description,The chart shows that the figure gradually increase over the period.
6,1,gradually level off,trend/description,"Overall, the number gradually level off during the time shown."
6,1,gradually peak,trend/description,"As can be seen from the graph, the percentage gradually peak over these years."
6,1,gradually plummet,trend/description,"According to the table, the value gradually plummet in the final year."
6,1,gradually rise,trend/description,"Over the whole period, the proportion gradually rise compared with the beginning."
6,1,gradually surge,trend/description,The line graph illustrates how the figure gradually surge between 2000 and 2010.
6,1,markedly decrease,trend/description,"Looking at the statistics, the amount markedly decrease throughout the period."
6,1,markedly drop,trend/description,The diagram makes it clear that the percentage markedly drop over time.
6,1,markedly fall,trend/description,The chart shows that the figure markedly fall over the period.
6,1,markedly fluctuate,trend/description,"Overall, the number markedly fluctuate during the time shown."
6,1,markedly increase,trend/description,"As can be seen from the graph, the percentage markedly increase over these years."
6,1,markedly level off,trend/description,"According to the table, the value markedly level off in the final year."
6,1,markedly peak,trend/description,"Over the whole period, the proportion markedly peak compared with the beginning."
6,1,markedly plummet,trend/description,The line graph illustrates how the figure markedly plummet between 2000 and 2010.
6,1,markedly rise,trend/description,"Looking at the statistics, the amount markedly rise throughout the period."
6,1,markedly surge,trend/description,The diagram makes it clear that the percentage markedly surge over time.
6,1,steadily decrease,trend/description,The chart shows that the figure steadily decrease over the period.
6,1,steadily drop,trend/description,"Overall, the number steadily drop during the time shown."
6,1,steadily fall,trend/description,"As can be seen from the graph, the percentage steadily fall over these years."
6,1,steadily fluctuate,trend/description,"According to the table, the value steadily fluctuate in the final year."
6,1,steadily increase,trend/description,"Over the whole period, the proportion steadily increase compared with the beginning."
6,1,steadily level off,trend/description,The line graph illustrates how the figure steadily level off between 2000 and 2010.
6,1,steadily peak,trend/description,"Looking at the statistics, the amount steadily peak throughout the period."
6,1,steadily plummet,trend/description,The diagram makes it clear that the percentage steadily plummet over time.
6,1,steadily rise,trend/description,The chart shows that the figure steadily rise over the period.
6,1,steadily surge,trend/description,"Overall, the number steadily surge during the time shown."
6,1,substantially decrease,trend/description,"As can be seen from the graph, the percentage substantially decrease over these years."
6,1,substantially drop,trend/description,"According to the table, the value substantially drop in the final year."
6,1,substantially fall,trend/description,"Over the whole period, the proportion substantially fall compared with the beginning."
6,1,substantially fluctuate,trend/description,The line graph illustrates how the figure substantially fluctuate between 2000 and 2010.
6,1,substantially increase,trend/description,"Looking at the statistics, the amount substantially increase throughout the period."
6,1,substantially level off,trend/description,The diagram makes it clear that the percentage substantially level off over time.
6,1,substantially peak,trend/description,The chart shows that the figure substantially peak over the period.
6,1,substantially plummet,trend/description,"Overall, the number substantially plummet during the time shown."
6,1,substantially rise,trend/description,"As can be seen from the graph, the percentage substantially rise over these years."
6,1,substantially surge,trend/description,"According to the table, the value substantially surge in the final year."
7,1,dramatically diminish,trend/description,"Over the whole period, the proportion dramatically diminish compared with the beginning."
7,1,dramatically escalate,trend/description,The line graph illustrates how the figure dramatically escalate between 2000 and 2010.
7,1,dramatically fluctuate,trend/description,"Looking at the statistics, the amount dramatically fluctuate throughout the period."
7,1,dramatically intensify,trend/description,The diagram makes it clear that the percentage dramatically intensify over time.
7,1,dramatically peak,trend/description,The chart shows that the figure dramatically peak over the period.
7,1,dramatically plateau,trend/description,"Overall, the number dramatically plateau during the time shown."
7,1,dramatically plummet,trend/description,"As can be seen from the graph, the percentage dramatically plummet over these years."
7,1,dramatically soar,trend/description,"According to the table, the value dramatically soar in the final year."
7,1,dramatically stabilise,trend/description,"Over the whole period, the proportion dramatically stabilise compared with the beginning."
7,1,dramatically wane,trend/description,The line graph illustrates how the figure dramatically wane between 2000 and 2010.
7,1,gradually diminish,trend/description,"Looking at the statistics, the amount gradually diminish throughout the period."
7,1,gradually escalate,trend/description,The diagram makes it clear that the percentage gradually escalate over time.
7,1,gradually fluctuate,trend/description,The chart shows that the figure gradually fluctuate over the period.
7,1,gradually intensify,trend/description,"Overall, the number gradually intensify during the time shown."
7,1,gradually peak,trend/description,"As can be seen from the graph, the percentage gradually peak over these years."
7,1,gradually plateau,trend/description,"According to the table, the value gradually plateau in the final year."
7,1,gradually plummet,trend/description,"Over the whole period, the proportion gradually plummet compared with the beginning."
7,1,gradually soar,trend/description,The line graph illustrates how the figure gradually soar between 2000 and 2010.
7,1,gradually stabilise,trend/description,"Looking at the statistics, the amount gradually stabilise throughout the period."
7,1,gradually wane,trend/description,The diagram makes it clear that the percentage gradually wane over time.
7,1,progressively diminish,trend/description,The chart shows that the figure progressively diminish over the period.
7,1,progressively escalate,trend/description,"Overall, the number progressively escalate during the time shown."
7,1,progressively fluctuate,trend/description,"As can be seen from the graph, the percentage progressively fluctuate over these years."
7,1,progressively intensify,trend/description,"According to the table, the value progressively intensify in the final year."
7,1,progressively peak,trend/description,"Over the whole period, the proportion progressively peak compared with the beginning."
7,1,progressively plateau,trend/description,The line graph illustrates how the figure progressively plateau between 2000 and 2010.
7,1,progressively plummet,trend/description,"Looking at the statistics, the amount progressively plummet throughout the period."
7,1,progressively soar,trend/description,The diagram makes it clear that the percentage progressively soar over time.
7,1,progressively stabilise,trend/description,The chart shows that the figure progressively stabilise over the period.
7,1,progressively wane,trend/description,"Overall, the number progressively wane during the time shown."
7,1,sharply diminish,trend/description,"As can be seen from the graph, the percentage sharply diminish over these years."
7,1,sharply escalate,trend/description,"According to the table, the value sharply escalate in the final year."
7,1,sharply fluctuate,trend/description,"Over the whole period, the proportion sharply fluctuate compared with the beginning."
7,1,sharply intensify,trend/description,The line graph illustrates how the figure sharply intensify between 2000 and 2010.
7,1,sharply peak,trend/description,"Looking at the statistics, the amount sharply peak throughout the period."
7,1,sharply plateau,trend/description,The diagram makes it clear that the percentage sharply plateau over time.
7,1,sharply plummet,trend/description,The chart shows that the figure sharply plummet over the period.
7,1,sharply soar,trend/description,"Overall, the number sharply soar during the time shown."
7,1,sharply stabilise,trend/description,"As can be seen from the graph, the percentage sharply stabilise over these years."
7,1,sharply wane,trend/description,"According to the table, the value sharply wane in the final year."
7,1,significantly diminish,trend/description,"Over the whole period, the proportion significantly diminish compared with the beginning."
7,1,significantly escalate,trend/description,The line graph illustrates how the figure significantly escalate between 2000 and 2010.
7,1,significantly fluctuate,trend/description,"Looking at the statistics, the amount significantly fluctuate throughout the period."
7,1,significantly intensify,trend/description,The diagram makes it clear that the percentage significantly intensify over time.
7,1,significantly peak,trend/description,The chart shows that the figure significantly peak over the period.
7,1,significantly plateau,trend/description,"Overall, the number significantly plateau during the time shown."
7,1,significantly plummet,trend/description,"As can be seen from the graph, the percentage significantly plummet over these years."
7,1,significantly soar,trend/description,"According to the table, the value significantly soar in the final year."
7,1,significantly stabilise,trend/description,"Over the whole period, the proportion significantly stabilise compared with the beginning."
7,1,significantly wane,trend/description,The line graph illustrates how the figure significantly wane between 2000 and 2010.
8,1,considerably decline,trend/description,"Looking at the statistics, the amount considerably decline throughout the period."
8,1,considerably deteriorate,trend/description,The diagram makes it clear that the percentage considerably deteriorate over time.
8,1,considerably drop off,trend/description,The chart shows that the figure considerably drop off over the period.
8,1,considerably escalate,trend/description,"Overall, the number considerably escalate during the time shown."
8,1,considerably fluctuate,trend/description,"As can be seen from the graph, the percentage considerably fluctuate over these years."
8,1,considerably peak,trend/description,"According to the table, the value considerably peak in the final year."
8,1,considerably plateau,trend/description,"Over the whole period, the proportion considerably plateau compared with the beginning."
