question,options,correct_answer,category,difficulty,fun_fact,source,grade_range,active
"Which part of the brain controls balance and coordination?","[""Cerebrum"",""Cerebellum"",""Medulla"",""Thalamus""]",1,Science,hard,"The cerebellum contains about 50% of the brain's neurons despite being only 10% of its volume.",Khan Academy – The Brain,Y6-Y11,true
"What process do bacteria use to reproduce?","[""Mitosis"",""Meiosis"",""Binary fission"",""Budding""]",2,Science,hard,"Under ideal conditions bacteria can double their population every 20 minutes via binary fission.",BBC Bitesize – Bacteria,Y6-Y11,true
"What is the SI unit of pressure?","[""Newton"",""Joule"",""Pascal"",""Watt""]",2,Science,hard,"Atmospheric pressure at sea level is about 101,325 Pascals, or 1 atmosphere.",Khan Academy – Pressure,Y6-Y11,true
"Which vitamin is synthesised by the human body when exposed to sunlight?","[""Vitamin A"",""Vitamin B12"",""Vitamin C"",""Vitamin D""]",3,Science,hard,"Vitamin D deficiency affects over 1 billion people worldwide and can weaken bones.",National Institutes of Health – Vitamin D,Y6-Y11,true
"What is 12 × 12?","[""132"",""140"",""144"",""148""]",2,Math,easy,"144 is called a perfect square because it is 12 multiplied by itself.",BBC Bitesize – Times Tables,Y6-Y11,true
"What is the next prime number after 7?","[""8"",""9"",""10"",""11""]",3,Math,easy,"A prime number has exactly two factors: 1 and itself.",Khan Academy – Prime Numbers,Y6-Y11,true
"What is 50% of 80?","[""30"",""35"",""40"",""45""]",2,Math,easy,"Percent means 'per hundred', so 50% is simply half of any number.",Khan Academy – Percentages,Y6-Y11,true
"How many sides does a hexagon have?","[""5"",""6"",""7"",""8""]",1,Math,easy,"A regular hexagon is the shape used in honeycombs — the most efficient use of space.",BBC Bitesize – 2D Shapes,Y6-Y11,true
"What is 3³ (3 to the power of 3)?","[""9"",""18"",""27"",""81""]",2,Math,easy,"3³ means 3 × 3 × 3 = 27. Powers are also called exponents or indices.",Khan Academy – Exponents,Y6-Y11,true
"What is the perimeter of a square with side length 5 cm?","[""10 cm"",""15 cm"",""20 cm"",""25 cm""]",2,Math,easy,"Perimeter means the total distance around a shape — for a square it is 4 times one side.",BBC Bitesize – Perimeter,Y6-Y11,true
"Which of these numbers is NOT a multiple of 6?","[""12"",""18"",""22"",""24""]",2,Math,easy,"A multiple of 6 must be divisible by both 2 and 3. 22 is divisible by 2 but not 3.",Khan Academy – Factors and Multiples,Y6-Y11,true
"What is the fraction 3/4 as a percentage?","[""60%"",""70%"",""75%"",""80%""]",2,Math,easy,"To convert a fraction to a percentage, divide the numerator by denominator then multiply by 100.",Khan Academy – Fractions to Percents,Y6-Y11,true
"What is the median of the numbers 3, 5, 7, 9, 11?","[""5"",""7"",""9"",""11""]",1,Math,easy,"The median is the middle value when numbers are arranged in order.",BBC Bitesize – Averages,Y6-Y11,true
"What is the value of 0! (zero factorial)?","[""0"",""1"",""Undefined"",""Infinity""]",1,Math,easy,"By mathematical convention, 0! = 1 because there is exactly one way to arrange zero objects.",Khan Academy – Factorial,Y6-Y11,true
"If 3x − 7 = 14, what is x?","[""5"",""6"",""7"",""8""]",2,Math,medium,"To solve, add 7 to both sides to get 3x = 21, then divide by 3 to get x = 7.",Khan Academy – Linear Equations,Y6-Y11,true
"What is the area of a triangle with base 10 cm and height 8 cm?","[""30 cm²"",""40 cm²"",""50 cm²"",""80 cm²""]",1,Math,medium,"The formula for the area of a triangle is ½ × base × height.",BBC Bitesize – Area,Y6-Y11,true
"What is 2⁸?","[""128"",""256"",""512"",""1024""]",1,Math,medium,"Powers of 2 are fundamental in computing: 2⁸ = 256 possible values for one byte.",Khan Academy – Exponents,Y6-Y11,true
"A circle has diameter 14 cm. What is its circumference? (π ≈ 3.14)","[""22 cm"",""43.96 cm"",""153.86 cm"",""88 cm""]",1,Math,medium,"Circumference = π × diameter. The ratio π (pi) is approximately 3.14159.",BBC Bitesize – Circles,Y6-Y11,true
"What is the LCM of 4 and 6?","[""10"",""12"",""18"",""24""]",1,Math,medium,"The Lowest Common Multiple (LCM) is the smallest number both values divide into evenly.",Khan Academy – LCM and GCF,Y6-Y11,true
"What is the gradient of the line y = 3x + 5?","[""5"",""3"",""8"",""-3""]",1,Math,medium,"In y = mx + c form, m is the gradient and c is the y-intercept.",BBC Bitesize – Straight Line Graphs,Y6-Y11,true
"What is the sum of interior angles of a pentagon?","[""360°"",""450°"",""540°"",""720°""]",2,Math,medium,"The formula for the sum of interior angles is (n − 2) × 180°, where n is the number of sides.",Khan Academy – Polygons,Y6-Y11,true
"What is √225?","[""13"",""14"",""15"",""16""]",2,Math,medium,"225 = 15 × 15, making it a perfect square. The square root undoes the squaring operation.",BBC Bitesize – Square Roots,Y6-Y11,true
"If a rectangle has area 48 cm² and length 8 cm, what is its width?","[""4 cm"",""5 cm"",""6 cm"",""7 cm""]",2,Math,medium,"Area = length × width, so width = 48 ÷ 8 = 6 cm.",Khan Academy – Area of Rectangles,Y6-Y11,true
"What is 0.125 expressed as a fraction?","[""1/4"",""1/6"",""1/8"",""1/12""]",2,Math,medium,"0.125 = 125/1000, which simplifies to 1/8. Dividing 1 by 8 gives 0.125.",Khan Academy – Decimals to Fractions,Y6-Y11,true
"What is the discriminant of x² + 4x + 5 = 0?","[""-4"",""4"",""-16"",""16""]",0,Math,hard,"The discriminant b² − 4ac = 16 − 20 = −4. A negative discriminant means no real roots.",Khan Academy – The Quadratic Formula,Y6-Y11,true
"If log₂(x) = 5, what is x?","[""10"",""16"",""32"",""64""]",2,Math,hard,"log₂(32) = 5 because 2⁵ = 32. Logarithms are the inverse operation of exponentiation.",Khan Academy – Logarithms,Y6-Y11,true
"What is the derivative of f(x) = 3x² + 2x?","[""3x + 2"",""6x + 2"",""6x² + 2"",""9x + 2""]",1,Math,hard,"Using the power rule: multiply the coefficient by the power, then reduce the power by 1.",Khan Academy – Derivatives,Y6-Y11,true
"What is the sum of the interior angles of an octagon?","[""900°"",""1080°"",""1260°"",""1440°""]",1,Math,hard,"(8 − 2) × 180° = 6 × 180° = 1080°. Each interior angle of a regular octagon is 135°.",Khan Academy – Polygons,Y6-Y11,true
"Which equation represents a circle centred at the origin with radius 5?","[""x² + y² = 5"",""x² + y² = 10"",""x² + y² = 25"",""x + y = 25""]",2,Math,hard,"The standard form of a circle centred at the origin is x² + y² = r², so radius 5 gives r² = 25.",Khan Academy – Circles in Coordinate Geometry,Y6-Y11,true
"What is the value of sin(90°)?","[""0"",""0.5"",""1"",""√2/2""]",2,Math,hard,"sin(90°) = 1 is one of the key values to memorise on the unit circle.",Khan Academy – Trigonometry,Y6-Y11,true
"In how many ways can 5 students be arranged in a line?","[""25"",""60"",""120"",""720""]",2,Math,hard,"5! = 5 × 4 × 3 × 2 × 1 = 120. Factorials count the number of permutations.",Khan Academy – Permutations,Y6-Y11,true
"What are the solutions to 2x² − 8 = 0?","[""x = ±2"",""x = ±4"",""x = ±8"",""x = ±16""]",0,Math,hard,"2x² = 8, so x² = 4, giving x = ±2. Both positive and negative roots satisfy the equation.",Khan Academy – Solving Quadratics,Y6-Y11,true
"What is the coefficient of x² in the expansion of (x + 2)³?","[""3"",""6"",""8"",""12""]",1,Math,hard,"(x+2)³ = x³ + 6x² + 12x + 8. Use Pascal's triangle or the binomial theorem to expand.",Khan Academy – Binomial Theorem,Y6-Y11,true
"If tan(θ) = 1 and 0° < θ < 90°, what is θ?","[""30°"",""45°"",""60°"",""90°""]",1,Math,hard,"tan(45°) = 1 because in a right isosceles triangle both legs are equal in length.",Khan Academy – Trigonometry – Tan,Y6-Y11,true
"What is the capital city of Vietnam?","[""Hồ Chí Minh City"",""Đà Nẵng"",""Huế"",""Hà Nội""]",3,Vietnam,easy,"Hà Nội has been a capital city for over 1,000 years and lies on the Sông Hồng.",Vietnam Tourism Authority,Y6-Y11,true
"What is the currency of Vietnam?","[""Baht"",""Đồng"",""Ringgit"",""Peso""]",1,Vietnam,easy,"The Vietnamese đồng has been the official currency since 1978 after reunification.",State Bank of Vietnam,Y6-Y11,true
"What is the traditional Vietnamese long dress called?","[""Hanbok"",""Kimono"",""Áo Dài"",""Batik""]",2,Vietnam,easy,"The Áo Dài became Vietnam's national costume and is worn at schools and formal events.",Vietnam Museum of Ethnology,Y6-Y11,true
"Which is Vietnam's national flower?","[""Hoa Sen (Lotus)"",""Rose"",""Orchid"",""Cherry Blossom""]",0,Vietnam,easy,"The lotus grows from muddy water to bloom beautifully, symbolising purity in Vietnamese culture.",Vietnam Culture Portal,Y6-Y11,true
"What colour is the star on Vietnam's national flag?","[""Blue"",""White"",""Red"",""Yellow""]",3,Vietnam,easy,"The yellow five-pointed star on a red background has been the flag of Vietnam since 1945.",Vietnam Government Portal,Y6-Y11,true
"Which famous Vietnamese dish is a noodle soup with broth and herbs?","[""Pad Thai"",""Phở"",""Bibimbap"",""Rendang""]",1,Vietnam,easy,"Phở originated in northern Vietnam in the early 20th century and is now enjoyed worldwide.",Vietnam National Museum of History,Y6-Y11,true
"What is the tallest mountain in Vietnam?","[""Bạch Mã"",""Fansipan"",""Lang Biang"",""Ngọc Linh""]",1,Vietnam,easy,"Fansipan stands 3,143 metres above sea level and is nicknamed the Roof of Indochina.",Vietnam National Geographic,Y6-Y11,true
"How many provinces and municipalities does Vietnam have?","[""58"",""62"",""63"",""65""]",2,Vietnam,easy,"Vietnam's 63 provinces and cities are divided across three regions: North, Central, and South.",Vietnam Government Portal,Y6-Y11,true
"What body of water borders Vietnam to the east?","[""Biển Đông (East Sea)"",""Pacific Ocean"",""Indian Ocean"",""Gulf of Thailand""]",0,Vietnam,easy,"Vietnam officially calls this sea Biển Đông. Some countries use a different name. It is one of the world's busiest shipping lanes.",Vietnam Ministry of Foreign Affairs,Y6-Y11,true
"What is the largest city in Vietnam by population?","[""Hà Nội"",""Huế"",""Đà Nẵng"",""Hồ Chí Minh City""]",3,Vietnam,easy,"Hồ Chí Minh City, formerly Sài Gòn, is Vietnam's economic hub with over 9 million people.",General Statistics Office of Vietnam,Y6-Y11,true
"In which year did Hồ Chí Minh declare Vietnamese independence?","[""1943"",""1945"",""1954"",""1975""]",1,Vietnam,medium,"Hồ Chí Minh read the Declaration of Independence in Quảng trường Ba Đình, Hà Nội on 2 September 1945.",Vietnam National Museum of History,Y6-Y11,true
"Which river flows through Hà Nội?","[""Mekong River"",""Sông Hương (Perfume River)"",""Sông Hồng (Red River)"",""Sông Mã""]",2,Vietnam,medium,"The Sông Hồng gets its colour from the red silt it carries down from the mountains.",Vietnam Academy of Science and Technology,Y6-Y11,true
"Which UNESCO World Heritage Site is a famous ancient trading port in central Vietnam?","[""Huế"",""Mỹ Sơn"",""Hội An"",""Đà Nẵng""]",2,Vietnam,medium,"Hội An was a major trading port from the 15th to 19th centuries visited by Chinese and Japanese merchants.",UNESCO World Heritage Centre – Hội An,Y6-Y11,true
"Which Vietnamese general commanded forces that defeated three Mongol invasions in the 13th century?","[""Lê Lợi"",""Ngô Quyền"",""Trần Hưng Đạo"",""Nguyễn Huệ""]",2,Vietnam,medium,"Trần Hưng Đạo's famous victory at the Battle of Bạch Đằng River in 1288 ended Mongol ambitions in Vietnam.",Vietnam National Museum of History,Y6-Y11,true
"What is the name of Vietnam's most famous epic poem?","[""Truyện Kiều"",""The Journey South"",""Song of the Homeland"",""Lament of a Soldier""]",0,Vietnam,medium,"Written by Nguyễn Du with 3,254 lines in lục bát verse, it is considered the masterpiece of Vietnamese literature.",Vietnam Ministry of Education and Training,Y6-Y11,true
"In which year did Vietnam join ASEAN?","[""1985"",""1990"",""1995"",""2000""]",2,Vietnam,medium,"Vietnam became the seventh member of ASEAN on 28 July 1995, ending its post-war isolation.",ASEAN Secretariat,Y6-Y11,true
"Which city is known as the City of Bridges in Vietnam?","[""Huế"",""Đà Nẵng"",""Hội An"",""Vinh""]",1,Vietnam,medium,"Đà Nẵng boasts iconic bridges including the Dragon Bridge, which breathes fire on weekends.",Đà Nẵng City Portal,Y6-Y11,true
"What is the name of Vietnam's largest national park, a UNESCO World Heritage Site?","[""Phong Nha-Kẻ Bàng"",""Cát Tiên"",""Bạch Mã"",""Cúc Phương""]",0,Vietnam,medium,"Phong Nha-Kẻ Bàng contains some of the world's largest caves, including Sơn Đoòng.",UNESCO World Heritage Centre,Y6-Y11,true
"In which year did Vietnam host the 31st SEA Games?","[""2019"",""2020"",""2021"",""2022""]",3,Vietnam,medium,"Vietnam hosted the SEA Games in Hà Nội in May 2022 (delayed from 2021) and topped the medal table.",Vietnam Sports Authority,Y6-Y11,true
"Which economic reform policy did Vietnam introduce in 1986?","[""Renovation"",""Đổi Mới"",""Perestroika"",""Glasnost""]",1,Vietnam,medium,"Đổi Mới (Renovation) shifted Vietnam from a centrally planned economy to a market-oriented one.",World Bank – Vietnam Overview,Y6-Y11,true
"Who founded the Nguyễn Dynasty, the last ruling dynasty of Vietnam?","[""Nguyễn Huệ"",""Nguyễn Ánh (Gia Long)"",""Nguyễn Hoàng"",""Minh Mạng""]",1,Vietnam,hard,"Nguyễn Ánh, who took the title Gia Long, reunified Vietnam in 1802 and established Huế as the capital.",Vietnam National Museum of History,Y6-Y11,true
"What was the ancient kingdom of Champa known for?","[""Confucian scholarship"",""Hindu-influenced art and temple complexes"",""Bronze drum culture"",""Maritime silk trade with Europe""]",1,Vietnam,hard,"The Cham people built magnificent Hindu temples at Mỹ Sơn, now a UNESCO World Heritage Site.",UNESCO – Mỹ Sơn Sanctuary,Y6-Y11,true
"In which year was the Communist Party of Vietnam founded?","[""1925"",""1930"",""1935"",""1945""]",1,Vietnam,hard,"Hồ Chí Minh founded the party in Hong Kong on 3 February 1930, uniting three communist factions.",Vietnam Communist Party Historical Records,Y6-Y11,true
"What is the name of the ancient Vietnamese Bronze Age culture known for its elaborate drums?","[""Sa Huỳnh"",""Đông Sơn"",""Óc Eo"",""Hoà Bình""]",1,Vietnam,hard,"Đông Sơn drums, some over 2,500 years old, are considered masterpieces of ancient metalwork.",Vietnam Museum of History,Y6-Y11,true
"What was the formal name of South Vietnam before 1975?","[""Republic of Vietnam"",""State of Vietnam"",""Democratic Republic of Vietnam"",""Socialist Republic of Vietnam""]",0,Vietnam,hard,"The Republic of Vietnam (1955–1975) was based in Sài Gòn and supported by the United States.",Vietnam War Archives,Y6-Y11,true
"In what year did the Battle of Điện Biên Phủ end French colonial rule in Indochina?","[""1950"",""1952"",""1954"",""1956""]",2,Vietnam,hard,"The 57-day battle ended on 7 May 1954, forcing France to sign the Geneva Accords dividing Vietnam.",Vietnam National Museum of Military History,Y6-Y11,true
"According to Vietnamese legend who was the father of the first Hùng Kings and founder of the Văn Lang kingdom?","[""Lạc Long Quân"",""Âu Cơ"",""Kinh Dương Vương"",""An Dương Vương""]",0,Vietnam,hard,"Legend says Lạc Long Quân and Âu Cơ had 100 eggs that hatched into 100 sons — the ancestors of the Vietnamese people.",Vietnam Cultural Heritage Institute,Y6-Y11,true
"Which Vietnamese scholar wrote the Proclamation of Victory over the Wu (Bình Ngô Đại Cáo) in 1428?","[""Nguyễn Trãi"",""Nguyễn Du"",""Lê Lợi"",""Trần Hưng Đạo""]",0,Vietnam,hard,"Nguyễn Trãi's proclamation is regarded as one of the greatest works of Vietnamese political literature.",Vietnam Ministry of Education and Training,Y6-Y11,true
"Which Vietnamese poet is celebrated for her bold Nôm poetry challenging social norms in the 18th century?","[""Nguyễn Du"",""Đoàn Thị Điểm"",""Hồ Xuân Hương"",""Nguyễn Trãi""]",2,Vietnam,hard,"Hồ Xuân Hương is called the Queen of Vietnamese poetry. Her works used wit and double meanings to critique society.",Vietnam Literature Institute,Y6-Y11,true
"What was the name of the Việt Minh strategy of using tunnels and guerrilla tactics during the resistance war?","[""Chinh Phục"",""Tiến Quân"",""People's War"",""Bảo Vệ""]",2,Vietnam,hard,"General Võ Nguyên Giáp's People's War doctrine combined political mobilisation with military strategy.",Vietnam Military History Museum,Y6-Y11,true
"Who was the first person to walk on the Moon?","[""Buzz Aldrin"",""Yuri Gagarin"",""Neil Armstrong"",""Alan Shepard""]",2,History,easy,"Neil Armstrong said 'That's one small step for man, one giant leap for mankind' on 20 July 1969.",NASA – Apollo 11,Y6-Y11,true
"In which country were the first ancient Olympic Games held?","[""Rome"",""Egypt"",""Greece"",""Turkey""]",2,History,easy,"The ancient Olympic Games began in Olympia, Greece in 776 BC and were held every four years.",International Olympic Committee,Y6-Y11,true
"Who painted the Mona Lisa?","[""Michelangelo"",""Raphael"",""Leonardo da Vinci"",""Donatello""]",2,History,easy,"Leonardo began painting the Mona Lisa around 1503. It now hangs in the Louvre Museum in Paris.",The Louvre Museum,Y6-Y11,true
"What was the name of the ship that sank in 1912 after hitting an iceberg?","[""Lusitania"",""Britannic"",""Titanic"",""Olympic""]",2,History,easy,"The Titanic sank in under 3 hours on 15 April 1912, with the loss of over 1,500 lives.",History.com – Titanic,Y6-Y11,true
"Which ancient civilisation built the Great Wall?","[""Japan"",""Mongolia"",""Korea"",""China""]",3,History,easy,"Construction of the Great Wall began over 2,300 years ago and stretches over 21,000 km in total.",UNESCO World Heritage Centre,Y6-Y11,true
"Who was the famous Egyptian queen who allied with Julius Caesar?","[""Nefertiti"",""Isis"",""Cleopatra"",""Hatshepsut""]",2,History,easy,"Cleopatra VII was the last active ruler of the Ptolemaic Kingdom of Egypt and famously spoke 9 languages.",British Museum – Ancient Egypt,Y6-Y11,true
"What was the name of the first artificial satellite launched into space?","[""Apollo 1"",""Explorer 1"",""Vostok 1"",""Sputnik 1""]",3,History,easy,"Sputnik 1 was launched by the Soviet Union on 4 October 1957 and orbited Earth for three months.",NASA History,Y6-Y11,true
"Who was the first President of the United States?","[""Abraham Lincoln"",""Benjamin Franklin"",""Thomas Jefferson"",""George Washington""]",3,History,easy,"George Washington served two terms as the first US President from 1789 to 1797.",White House Historical Association,Y6-Y11,true
"Which war was fought between the Northern and Southern states of the USA?","[""The Revolutionary War"",""The Civil War"",""World War I"",""The Cold War""]",1,History,easy,"The American Civil War (1861–1865) resulted in the abolition of slavery and preservation of the Union.",Library of Congress,Y6-Y11,true
"In which city was the Eiffel Tower constructed?","[""Rome"",""Berlin"",""Madrid"",""Paris""]",3,History,easy,"The Eiffel Tower was built by Gustave Eiffel as the entrance arch for the 1889 World's Fair.",Paris Tourism Office,Y6-Y11,true
"In which year did World War I begin?","[""1910"",""1912"",""1914"",""1916""]",2,History,medium,"WWI began after the assassination of Archduke Franz Ferdinand of Austria in Sarajevo.",BBC History – World War One,Y6-Y11,true
"What was the name of the global economic crisis that began in 1929?","[""The Great Recession"",""The Great Depression"",""Black Tuesday Crash"",""The Wall Street Crisis""]",1,History,medium,"The Great Depression led to mass unemployment and lasted throughout the 1930s.",History.com – Great Depression,Y6-Y11,true
"Who was the leader of the Soviet Union during World War II?","[""Lenin"",""Khrushchev"",""Stalin"",""Trotsky""]",2,History,medium,"Stalin led the Soviet Union from 1924 until his death in 1953, spanning WWII and early Cold War.",BBC History – Stalin,Y6-Y11,true
"In which year did the Berlin Wall fall?","[""1985"",""1987"",""1989"",""1991""]",2,History,medium,"The Berlin Wall fell on 9 November 1989, leading to German reunification in 1990.",BBC History – Berlin Wall,Y6-Y11,true
"Who led India's independence movement against British rule?","[""Jawaharlal Nehru"",""Rabindranath Tagore"",""Mahatma Gandhi"",""Bhagat Singh""]",2,History,medium,"Gandhi's non-violent civil disobedience movement inspired independence movements worldwide.",National Gandhi Museum,Y6-Y11,true
"What was the name of Japan's surprise attack on the US naval base in 1941?","[""Battle of Midway"",""Attack on Pearl Harbor"",""Battle of Guadalcanal"",""Invasion of Philippines""]",1,History,medium,"The attack on Pearl Harbor on 7 December 1941 brought the United States into World War II.",National WWII Museum,Y6-Y11,true
"Which empire is considered the largest contiguous land empire in history?","[""Roman Empire"",""British Empire"",""Mongol Empire"",""Ottoman Empire""]",2,History,medium,"At its peak in 1279, the Mongol Empire covered about 24 million square kilometres.",National Geographic – Mongol Empire,Y6-Y11,true
"In which year did Nelson Mandela become President of South Africa?","[""1990"",""1992"",""1994"",""1996""]",2,History,medium,"Mandela became South Africa's first democratically elected president after 27 years in prison.",Nobel Prize – Nelson Mandela,Y6-Y11,true
"What document declared the independence of the USA in 1776?","[""The Magna Carta"",""The Constitution"",""The Declaration of Independence"",""The Bill of Rights""]",2,History,medium,"Thomas Jefferson drafted most of the Declaration, which was adopted on 4 July 1776.",National Archives – Declaration of Independence,Y6-Y11,true
"Which ancient wonder of the world still exists today?","[""Hanging Gardens of Babylon"",""Colossus of Rhodes"",""Great Pyramid of Giza"",""Lighthouse of Alexandria""]",2,History,medium,"The Great Pyramid of Giza was built around 2560 BC and remained the world's tallest structure for 3,800 years.",UNESCO World Heritage Centre,Y6-Y11,true
"The Treaty of Westphalia (1648) ended which major European conflict?","[""The Hundred Years War"",""The Thirty Years War"",""The Crusades"",""The War of the Roses""]",1,History,hard,"The Treaty of Westphalia established the modern concept of nation-state sovereignty.",Encyclopaedia Britannica – Thirty Years War,Y6-Y11,true
"Which Chinese dynasty first unified China under one ruler in 221 BC?","[""Han"",""Ming"",""Tang"",""Qin""]",3,History,hard,"Qin Shi Huang became the first Emperor of China and ordered construction of the Great Wall.",National Museum of China,Y6-Y11,true
"Who wrote The Communist Manifesto alongside Friedrich Engels?","[""Vladimir Lenin"",""Leon Trotsky"",""Karl Marx"",""Mao Zedong""]",2,History,hard,"The Communist Manifesto was published in 1848 and ends with the famous words 'Workers of the world, unite!'",British Library – Karl Marx,Y6-Y11,true
"The Meiji Restoration of 1868 rapidly modernised which country?","[""China"",""Korea"",""Japan"",""Vietnam""]",2,History,hard,"The Meiji Restoration transformed Japan from a feudal society into a modern industrial nation within 50 years.",Encyclopaedia Britannica – Meiji Restoration,Y6-Y11,true
"Which pharaoh built the Great Pyramid of Giza?","[""Ramesses II"",""Tutankhamun"",""Khufu"",""Cleopatra""]",2,History,hard,"Khufu's pyramid was built with approximately 2.3 million stone blocks, each weighing 2.5–15 tonnes.",National Geographic – Pyramids,Y6-Y11,true
